yearbuilt,taxvaluedollarcnt,calculatedfinishedsquarefeet,bathroomcnt,bedroomcnt
,9.0,,0.0,0.0
,27516.0,,0.0,0.0
1959.0,1434941.0,73026.0,0.0,0.0
1948.0,1174475.0,5068.0,0.0,0.0
1947.0,440101.0,1776.0,0.0,0.0
1943.0,287634.0,2400.0,0.0,0.0
,563029.0,,0.0,0.0
1946.0,698984.0,3611.0,0.0,0.0
,9.0,,0.0,0.0
1978.0,265184.0,3754.0,0.0,0.0
2016.0,192544.0,3095.0,4.0,4.0
1958.0,436767.0,2470.0,0.0,0.0
,9.0,,0.0,0.0
,171200.0,,0.0,0.0
,4265.0,,0.0,0.0
,10.0,,0.0,0.0
,10.0,,0.0,0.0
,2108.0,,0.0,0.0
1949.0,63374.0,2760.0,0.0,0.0
1956.0,314727.0,4000.0,0.0,0.0
2005.0,296425.0,3633.0,2.0,4.0
2002.0,511433.0,4053.0,0.0,0.0
,50689.0,1442.0,0.0,0.0
1939.0,365489.0,1936.0,0.0,0.0
1926.0,184437.0,1606.0,0.0,0.0
1922.0,135755.0,2820.0,0.0,0.0
1953.0,1093711.0,13130.0,0.0,0.0
,124.0,,0.0,0.0
1972.0,831224.0,2865.0,4.0,5.0
1955.0,798579.0,6790.0,0.0,0.0
2004.0,357568.0,1090.0,2.0,2.0
2011.0,847770.0,1620.0,4.0,3.0
1955.0,536681.0,3170.0,0.0,0.0
1926.0,646760.0,2077.0,2.0,3.0
,1431502.0,2019.0,3.0,3.0
1958.0,2.5797852E7,28667.0,0.0,0.0
1932.0,239984.0,5610.0,0.0,0.0
2010.0,2922104.0,2735.0,3.0,2.0
,6730242.0,,0.0,0.0
,15532.0,,0.0,0.0
1949.0,1315128.0,18629.0,0.0,0.0
1919.0,101107.0,1781.0,0.0,0.0
1925.0,262499.0,4320.0,0.0,0.0
,290829.0,,0.0,0.0
1936.0,1196269.0,1012.0,0.0,0.0
1957.0,224617.0,1931.0,2.0,4.0
2008.0,387288.0,700.0,1.0,0.0
1920.0,504840.0,13768.0,0.0,0.0
1937.0,385794.0,2427.0,0.0,0.0
1962.0,332879.0,2718.0,0.0,0.0
,11009.0,,0.0,0.0
1927.0,95552.0,3230.0,0.0,0.0
