yearbuilt,taxvaluedollarcnt,calculatedfinishedsquarefeet,bathroomcnt,bedroomcnt
2005.0,291973.0,3633.0,2.0,4.0
1972.0,818739.0,2865.0,4.0,5.0
2004.0,352198.0,1090.0,2.0,2.0
2011.0,835036.0,1620.0,4.0,3.0
1926.0,637046.0,2077.0,2.0,3.0
2010.0,2878212.0,2735.0,3.0,2.0
1957.0,221244.0,1931.0,2.0,4.0
1950.0,993913.0,3086.0,4.0,4.0
2005.0,659000.0,2166.0,3.0,3.0
1950.0,166927.0,1244.0,1.0,3.0
1950.0,229763.0,1300.0,2.0,3.0
1951.0,286129.0,1222.0,2.0,3.0
2013.0,529869.0,1821.0,2.5,3.0
2014.0,635302.0,2684.0,3.5,4.0
2014.0,920319.0,2284.0,2.5,3.0
2013.0,1401383.0,2642.0,3.0,4.0
2014.0,994000.0,2536.0,3.0,4.0
2013.0,628108.0,1970.0,2.0,2.0
2014.0,679800.0,1888.0,3.5,3.0
2012.0,645869.0,1739.0,2.5,3.0
2014.0,630347.0,2245.0,3.0,4.0
2014.0,664593.0,1777.0,2.5,3.0
2014.0,385323.0,2380.0,4.0,4.0
2014.0,528814.0,1537.0,3.0,3.0
2012.0,578666.0,2522.0,2.5,4.0
1944.0,4000000.0,5044.0,4.0,4.0
1953.0,37548.0,725.0,1.0,2.0
1989.0,176899.0,693.0,1.0,1.0
1984.0,209415.0,2143.0,2.0,4.0
1987.0,125000.0,1018.0,2.0,2.0
1989.0,2195000.0,4969.0,4.0,4.0
1932.0,783000.0,1800.0,2.0,3.0
1971.0,87400.0,780.0,1.0,2.0
1978.0,229920.0,1250.0,2.0,2.0
1950.0,309132.0,1404.0,1.0,2.0
1961.0,595706.0,1505.0,2.0,3.0
1961.0,60087.0,1181.0,2.0,3.0
1961.0,444166.0,2025.0,3.0,4.0
1967.0,363915.0,1620.0,2.5,4.0
1981.0,292166.0,2148.0,2.5,3.0
1966.0,601622.0,2840.0,4.0,4.0
1960.0,919223.0,3541.0,3.5,5.0
1982.0,859741.0,3760.0,5.0,4.0
1984.0,420000.0,1590.0,2.5,2.0
1929.0,192470.0,1089.0,1.0,2.0
1973.0,386107.0,1440.0,1.5,1.0
1995.0,510100.0,2468.0,2.5,2.0
1979.0,755073.0,2261.0,4.0,3.0
1951.0,429608.0,1444.0,2.0,3.0
1957.0,227929.0,1116.0,1.0,2.0
1958.0,283081.0,1197.0,2.0,3.0
1961.0,420003.0,1204.0,2.0,3.0
1947.0,219191.0,1411.0,1.0,2.0
1954.0,149091.0,1050.0,1.0,2.0
1962.0,840854.0,1754.0,2.0,2.0
1989.0,643767.0,1638.0,2.0,3.0
1950.0,227394.0,924.0,1.0,2.0
1956.0,122060.0,1023.0,2.0,3.0
1929.0,186051.0,1056.0,1.0,3.0
1961.0,458473.0,1583.0,2.0,3.0
1904.0,430314.0,2104.0,2.5,3.0
1963.0,170562.0,2245.0,2.0,4.0
1940.0,331723.0,1529.0,1.0,3.0
1980.0,932000.0,1304.0,2.0,2.0
1973.0,205100.0,1607.0,2.0,4.0
1987.0,665444.0,2266.0,2.0,3.0
1964.0,175435.0,1456.0,2.0,3.0
1966.0,293148.0,1746.0,2.0,3.0
1935.0,70218.0,1396.0,2.0,3.0
1962.0,69365.0,2141.0,3.0,6.0
1928.0,61367.0,552.0,1.0,2.0
1955.0,185307.0,1080.0,1.0,3.0
1955.0,331000.0,1080.0,1.0,3.0
1948.0,245178.0,704.0,1.0,1.0
1979.0,282303.0,1698.0,1.5,3.0
1959.0,183117.0,1058.0,1.0,3.0
1958.0,280826.0,1688.0,2.0,3.0
1958.0,53864.0,1066.0,2.0,3.0
1962.0,74360.0,1800.0,2.0,4.0
1965.0,314435.0,1963.0,2.5,3.0
1967.0,721000.0,1940.0,2.0,4.0
1973.0,693925.0,1844.0,2.0,4.0
1974.0,253756.0,1706.0,2.5,3.0
1928.0,146117.0,1176.0,1.0,3.0
1935.0,29492.0,1379.0,2.0,3.0
1928.0,261275.0,816.0,1.0,2.0
1952.0,180287.0,1019.0,1.0,3.0
1929.0,171856.0,870.0,1.0,2.0
1963.0,285718.0,1040.0,1.5,3.0
1963.0,41728.0,996.0,1.0,3.0
1978.0,386646.0,1536.0,2.0,4.0
